strategy_key,strategy_name,benchmark_key,window_index,rebalance_id,next_rebalance_id,window_start_date,window_end_date,window_day_count,strategy_start_nav,strategy_end_nav,benchmark_start_nav,benchmark_end_nav,strategy_window_return,benchmark_window_return,excess_window_return,relative_excess_nav_start,relative_excess_nav_end,contribution_delta_relative_excess_nav,cash_weight_start,cash_weight_end,gross_exposure_start,gross_exposure_end,metadata_text,rank_group,rank_within_group
p5,P5 Cash-Aware Copy,SPY,2,P5CAC-R002,P5CAC-R003,2019-08-07,2020-02-05,125,0.768410272313,2.418606580407,1.059233733669,1.235995741827,2.147545871721,0.166877245823,1.980668625898,-0.290823461356,1.182610838580,1.473434299936,0.000000000000,0.995269950272,1.000000000000,0.004730049728,report_periods=2019-06-30; signal_dates=2019-08-06; raw_signal_count=1,top,1
p5,P5 Cash-Aware Copy,SPY,18,P5CAC-R018,P5CAC-R019,2024-11-15,2025-02-18,61,2.774154491199,3.982733209110,2.337498312280,2.448400000780,0.435656601586,0.047444606876,0.388211994710,0.436656178919,1.534333208330,1.097677029411,0.000000000000,-0.000000000000,1.000000000000,1.000000000000,report_periods=2024-09-30; signal_dates=2024-11-14; raw_signal_count=25,top,2
p5,P5 Cash-Aware Copy,SPY,13,P5CAC-R013,P5CAC-R014,2023-08-15,2023-11-15,65,2.026498597579,2.276893431932,1.737791874020,1.770636002777,0.123560329453,0.018899920783,0.104660408670,0.288706723559,0.506257429155,0.217550705596,0.000000000000,-0.000000000000,1.000000000000,1.000000000000,report_periods=2023-06-30; signal_dates=2023-08-14; raw_signal_count=5,top,3
p5,P5 Cash-Aware Copy,SPY,11,P5CAC-R011,P5CAC-R012,2023-02-15,2023-05-16,62,1.721259811663,1.901061835788,1.612234926406,1.603783734294,0.104459549283,-0.005241911072,0.109701460355,0.109024885257,0.297278101494,0.188253216237,0.000000000000,0.000000000000,1.000000000000,1.000000000000,report_periods=2022-12-31; signal_dates=2023-02-14; raw_signal_count=5,top,4
p5,P5 Cash-Aware Copy,SPY,8,P5CAC-R008,P5CAC-R009,2022-10-12,2022-11-15,24,1.405818859496,1.721415095064,1.382294179799,1.544846316335,0.224492816721,0.117595906075,0.106896910646,0.023524679697,0.176568778729,0.153044099032,0.000000000000,0.000000000000,1.000000000000,1.000000000000,report_periods=2021-09-30; signal_dates=2022-10-11; raw_signal_count=12,top,5
p5,P5 Cash-Aware Copy,SPY,7,P5CAC-R007,P5CAC-R008,2021-05-18,2022-10-12,354,3.089133863756,1.405818859496,1.563155093308,1.382294179799,-0.544914878572,-0.115702475259,-0.429212403313,1.525978770448,0.023524679697,-1.502454090751,0.000000000000,0.000000000000,1.000000000000,1.000000000000,report_periods=2020-12-31|2021-03-31; signal_dates=2021-05-17; raw_signal_count=18,bottom,1
p5,P5 Cash-Aware Copy,SPY,23,P5CAC-R023,,2026-02-18,2026-05-18,62,2.035187402840,1.489482567877,2.780070581224,3.000323571068,-0.268134931555,0.079225682733,-0.347360614289,-0.744883178384,-1.510841003191,-0.765957824807,0.061902783749,0.084582235740,0.938097216251,0.915417764260,report_periods=2025-12-31; signal_dates=2026-02-17; raw_signal_count=1,bottom,2
p5,P5 Cash-Aware Copy,SPY,21,P5CAC-R021,P5CAC-R022,2025-08-15,2025-11-17,66,3.129151966926,2.561916251171,2.591668942685,2.688620526283,-0.181274582299,0.037408938310,-0.218683520610,0.537483024241,-0.126704275112,-0.664187299353,0.068277511508,0.000000000000,0.931722488492,1.000000000000,report_periods=2025-06-30; signal_dates=2025-08-14; raw_signal_count=21,bottom,3
p5,P5 Cash-Aware Copy,SPY,22,P5CAC-R022,P5CAC-R023,2025-11-17,2026-02-18,64,2.561916251171,2.035187402840,2.688620526283,2.780070581224,-0.205599557788,0.034013745728,-0.239613303516,-0.126704275112,-0.744883178384,-0.618178903272,0.000000000000,0.061902783749,1.000000000000,0.938097216251,report_periods=2025-09-30; signal_dates=2025-11-14; raw_signal_count=11,bottom,4
p5,P5 Cash-Aware Copy,SPY,20,P5CAC-R020,P5CAC-R021,2025-05-16,2025-08-15,62,3.514796397810,3.129151966926,2.386304657555,2.591668942685,-0.109720276009,0.086059541677,-0.195779817686,1.128491740255,0.537483024241,-0.591008716014,-0.000000000000,0.068277511508,1.000000000000,0.931722488492,report_periods=2025-03-31; signal_dates=2025-05-15; raw_signal_count=11,bottom,5
