rebalance_id,strategy_key,strategy_name,signal_date,trade_date,as_of_date,included_count,order_count,turnover_notional,nav_pre_rebalance,cash_end,gross_exposure_end,included_signal_ids
n6::2018-02-28,n6,N6 Top-3 Industry Leaders,2018-02-27,2018-02-28,2017-12-31,3,3,1.000000000000,1.000000000000,0.000000000000,1.000000000000,2017-12-31::sector::XLF::top3_leader|2017-12-31::sector::XLI::top3_leader|2017-12-31::sector::XLP::top3_leader
n6::2019-02-28,n6,N6 Top-3 Industry Leaders,2019-02-27,2019-02-28,2018-12-31,3,4,0.708758121996,0.999431590797,0.000000000000,1.000000000000,2018-12-31::sector::XLF::top3_leader|2018-12-31::sector::XLI::top3_leader|2018-12-31::sector::XLK::top3_leader
n6::2020-02-26,n6,N6 Top-3 Industry Leaders,2020-02-25,2020-02-26,2019-12-31,3,3,0.122970081971,1.157609619782,0.000000000000,1.000000000000,2019-12-31::sector::XLF::top3_leader|2019-12-31::sector::XLK::top3_leader|2019-12-31::sector::XLI::top3_leader
n6::2021-02-26,n6,N6 Top-3 Industry Leaders,2021-02-25,2021-02-26,2020-12-31,3,3,0.137344535199,1.467071439639,0.000000000000,1.000000000000,2020-12-31::sector::XLF::top3_leader|2020-12-31::sector::XLK::top3_leader|2020-12-31::sector::XLI::top3_leader
n6::2022-03-04,n6,N6 Top-3 Industry Leaders,2022-03-03,2022-03-04,2021-12-31,3,4,1.127512594504,1.691268891755,0.000000000000,1.000000000000,2021-12-31::sector::XLK::top3_leader|2021-12-31::sector::XLY::top3_leader|2021-12-31::sector::XLF::top3_leader
n6::2023-03-08,n6,N6 Top-3 Industry Leaders,2023-03-07,2023-03-08,2022-12-31,3,3,0.081755864499,1.556600734577,0.000000000000,1.000000000000,2022-12-31::sector::XLK::top3_leader|2022-12-31::sector::XLF::top3_leader|2022-12-31::sector::XLY::top3_leader
n6::2024-02-28,n6,N6 Top-3 Industry Leaders,2024-02-27,2024-02-28,2023-12-31,3,3,0.169896292705,2.057149496106,0.000000000000,1.000000000000,2023-12-31::sector::XLK::top3_leader|2023-12-31::sector::XLF::top3_leader|2023-12-31::sector::XLY::top3_leader
n6::2024-08-15,n6,N6 Top-3 Industry Leaders,2024-08-14,2024-08-15,2024-06-30,3,3,0.073066054522,2.179239057052,0.000000000000,1.000000000000,2024-06-30::sector::XLK::top3_leader|2024-06-30::sector::XLF::top3_leader|2024-06-30::sector::XLY::top3_leader
n6::2025-02-26,n6,N6 Top-3 Industry Leaders,2025-02-25,2025-02-26,2024-12-31,3,3,0.127879518608,2.484992119627,0.000000000000,1.000000000000,2024-12-31::sector::XLK::top3_leader|2024-12-31::sector::XLF::top3_leader|2024-12-31::sector::XLY::top3_leader
n6::2025-08-13,n6,N6 Top-3 Industry Leaders,2025-08-12,2025-08-13,2025-06-30,3,3,0.119954202596,2.726124461728,0.000000000000,1.000000000000,2025-06-30::sector::XLK::top3_leader|2025-06-30::sector::XLF::top3_leader|2025-06-30::sector::XLY::top3_leader
n6::2026-03-02,n6,N6 Top-3 Industry Leaders,2026-02-27,2026-03-02,2025-12-31,3,3,0.060596685017,2.756240785437,0.000000000000,1.000000000000,2025-12-31::sector::XLK::top3_leader|2025-12-31::sector::XLF::top3_leader|2025-12-31::sector::XLY::top3_leader
